date,day,exercise,set_index,weight,reps
2026-08-09,Upper A,Bench press,1,0,0
2026-08-09,Upper A,Bench press,2,0,0
2026-08-09,Upper A,Bench press,3,0,0
2026-08-09,Upper A,Barbell/chest-supported row,1,0,0
2026-08-09,Upper A,Barbell/chest-supported row,2,0,0
2026-08-09,Upper A,Barbell/chest-supported row,3,0,0
2026-08-09,Upper A,Incline DB press,1,0,0
2026-08-09,Upper A,Incline DB press,2,0,0
2026-08-09,Upper A,Incline DB press,3,0,0
2026-08-09,Upper A,Lat pulldown,1,0,0
2026-08-09,Upper A,Lat pulldown,2,0,0
2026-08-09,Upper A,Lat pulldown,3,0,0
2026-08-09,Upper A,Lateral raise,1,0,0
2026-08-09,Upper A,Lateral raise,2,0,0
2026-08-09,Upper A,Lateral raise,3,0,0
2026-08-09,Upper A,Triceps pushdown,1,0,0
2026-08-09,Upper A,Triceps pushdown,2,0,0
2026-08-09,Upper A,Triceps pushdown,3,0,0
2026-08-09,Upper A,DB curl,1,0,0
2026-08-09,Upper A,DB curl,2,0,0
2026-08-09,Upper A,DB curl,3,0,0
2026-08-11,Upper A,Bench press,1,80,6
2026-08-11,Upper A,Bench press,2,80,6
2026-08-11,Upper A,Bench press,3,80,3
2026-08-11,Upper A,Barbell/chest-supported row,1,70,8
2026-08-11,Upper A,Barbell/chest-supported row,2,70,8
2026-08-11,Upper A,Barbell/chest-supported row,3,70,7
2026-08-11,Upper A,Incline DB press,1,30,12
2026-08-11,Upper A,Incline DB press,2,30,11
2026-08-11,Upper A,Lat pulldown,1,79,10
2026-08-11,Upper A,Lat pulldown,2,79,8
2026-08-11,Upper A,Lateral raise,1,10,12
2026-08-11,Upper A,Lateral raise,2,12,12
2026-08-11,Upper A,Triceps pushdown,1,26,12
2026-08-11,Upper A,Triceps pushdown,2,26,12
2026-08-11,Upper A,DB curl,1,0,0
2026-08-12,Lower A,Squat,1,100,5
2026-08-12,Lower A,Squat,2,100,5
2026-08-12,Lower A,Squat,3,100,5
2026-08-12,Lower A,Romanian deadlift,1,60,8
2026-08-12,Lower A,Romanian deadlift,2,60,8
2026-08-12,Lower A,Romanian deadlift,3,60,8
2026-08-12,Lower A,Leg curl,1,39,10
2026-08-12,Lower A,Leg curl,2,39,10
2026-08-12,Lower A,Standing calf raise,1,40,10
2026-08-12,Lower A,Standing calf raise,2,40,10
2026-08-12,Lower A,Standing calf raise,3,40,10
2026-08-12,Lower A,Hanging knee raise,1,68,8
2026-08-12,Lower A,Hanging knee raise,2,68,8
2026-08-12,Lower A,Hanging knee raise,3,68,8
2026-08-17,Upper A,Bench press,1,80,6
2026-08-17,Upper A,Bench press,2,80,5
2026-08-17,Upper A,Bench press,3,80,5
2026-08-17,Upper A,Barbell/chest-supported row,1,70,8
2026-08-17,Upper A,Barbell/chest-supported row,2,70,8
2026-08-17,Upper A,Barbell/chest-supported row,3,70,8
2026-08-17,Upper A,Incline DB press,1,32,10
2026-08-17,Upper A,Incline DB press,2,32,6
2026-08-17,Upper A,Lat pulldown,1,79,10
2026-08-17,Upper A,Lat pulldown,2,79,10
2026-08-17,Upper A,Lateral raise,1,12,12
2026-08-17,Upper A,Lateral raise,2,12,12
2026-08-17,Upper A,Lateral raise,3,11,12
2026-08-17,Upper A,Triceps pushdown,1,26,15
2026-08-17,Upper A,Triceps pushdown,2,26,15
2026-08-17,Upper A,DB curl,1,16,10
2026-08-17,Upper A,DB curl,2,16,10
